Person_name,Threshold,TP,FP,FN,TN,FMC,Miss_R,FMR,Intrusion,Train_count,Test_count
ANR,0.0,0,0,3,0,0,100.0,0,0.0,9,3
AamairKhan,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Aarthi,0.0,0,0,3,0,0,100.0,0,0.0,9,3
AkshayKumar,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Ali,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Ambresh,0.0,0,0,3,0,0,100.0,0,0.0,9,3
AmitabhBachchan,0.0,0,0,3,0,0,100.0,0,0.0,9,3
AmrishPuri,0.0,0,0,3,0,0,100.0,0,0.0,9,3
AnilKapoor,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Annapoorna,0.0,0,0,3,0,0,100.0,0,0.0,9,3
AnupamKher,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Ashwath,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Avinash,0.0,0,0,3,0,0,100.0,0,0.0,9,3
BabuMohan,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Balakrishna,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Bhanupriya,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Bharathi,0.0,0,0,3,0,0,100.0,0,0.0,9,3
BomanIrani,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Brahmanandam,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Cochinhaneefa,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Dileep,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Dr.Rajkumar,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Dwarkish,0.0,0,0,3,0,0,100.0,0,0.0,9,3
FaridaJalal,0.0,0,0,3,0,0,100.0,0,0.0,9,3
HrithikRoshan,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Innocent,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Jagadeesh,0.0,0,0,3,0,0,100.0,0,0.0,9,3
JagapathiBabu,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Jagathi,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Jamuna,0.0,0,0,3,0,0,100.0,0,0.0,9,3
JayaBhaduri,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Jayaprakash,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Jayram,0.0,0,0,3,0,0,100.0,0,0.0,9,3
JosePrakash,0.0,0,0,3,0,0,100.0,0,0.0,9,3
K.Viswanath,0.0,0,0,3,0,0,100.0,0,0.0,9,3
KajalAgarwal,0.0,0,0,3,0,0,100.0,0,0.0,9,3
Kajol,0.0,0,0,3,0,0,100.0,0,0.0,9,3
