Person_name,Threshold,TP,FP,FN,TN,FMC,Miss_R,FMR,Intrusion,Train_count,Test_count
ANR,10.0,0,0,3,0,0,100.0,0,0.0,9,3
AamairKhan,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Aarthi,10.0,0,0,3,0,0,100.0,0,0.0,9,3
AkshayKumar,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Ali,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Ambresh,10.0,0,0,3,0,0,100.0,0,0.0,9,3
AmitabhBachchan,10.0,0,0,3,0,0,100.0,0,0.0,9,3
AmrishPuri,10.0,0,0,3,0,0,100.0,0,0.0,9,3
AnilKapoor,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Annapoorna,10.0,0,0,3,0,0,100.0,0,0.0,9,3
AnupamKher,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Ashwath,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Avinash,10.0,0,0,3,0,0,100.0,0,0.0,9,3
BabuMohan,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Balakrishna,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Bhanupriya,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Bharathi,10.0,0,0,3,0,0,100.0,0,0.0,9,3
BomanIrani,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Brahmanandam,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Cochinhaneefa,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Dileep,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Dr.Rajkumar,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Dwarkish,10.0,0,0,3,0,0,100.0,0,0.0,9,3
FaridaJalal,10.0,0,0,3,0,0,100.0,0,0.0,9,3
HrithikRoshan,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Innocent,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Jagadeesh,10.0,0,0,3,0,0,100.0,0,0.0,9,3
JagapathiBabu,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Jagathi,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Jamuna,10.0,0,0,3,0,0,100.0,0,0.0,9,3
JayaBhaduri,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Jayaprakash,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Jayram,10.0,0,0,3,0,0,100.0,0,0.0,9,3
JosePrakash,10.0,0,0,3,0,0,100.0,0,0.0,9,3
K.Viswanath,10.0,0,0,3,0,0,100.0,0,0.0,9,3
KajalAgarwal,10.0,0,0,3,0,0,100.0,0,0.0,9,3
Kajol,10.0,0,0,3,0,0,100.0,0,0.0,9,3
KareenaKapoor,10.0,0,0,3,0,0,100.0,0,0.0,9,3
KarunaBenerjee,10.0,0,0,3,0,0,100.0,0,0.0,9,3
KatrinaKaif,10.0,0,0,3,0,0,100.0,0,0.0,9,3
